Problema;Algoritmo;bhv;hv;gd;igd;igdp;bspread;spread
ZDT2;MyNSGAII;0.3328335594;0.3300176084;0.0000689260;0.0000694846;0.0016591999;0.0000000000;0.3508859653
ZDT2;NSGAII;0.3328335594;0.3159075380;0.0006789300;0.0003497008;0.0107913893;0.0000000000;0.5942767790
ZDT2;MyNSGAII;0.3328335594;0.3298227374;0.0000741024;0.0000708953;0.0017596808;0.0000000000;0.3723141088
ZDT2;NSGAII;0.3328335594;0.3112488157;0.0010092654;0.0004613888;0.0141185833;0.0000000000;0.6475162097
ZDT2;MyNSGAII;0.3328335594;0.3300006237;0.0000711143;0.0000700555;0.0016926853;0.0000000000;0.3519968782
ZDT2;NSGAII;0.3328335594;0.3152512613;0.0007126813;0.0003857666;0.0113360912;0.0000000000;0.5496590046
ZDT2;MyNSGAII;0.3328335594;0.3299427860;0.0000700482;0.0000691141;0.0017222915;0.0000000000;0.3766556073
ZDT2;NSGAII;0.3328335594;0.3179532934;0.0006012127;0.0003169703;0.0097422120;0.0000000000;0.4588256441
ZDT2;MyNSGAII;0.3328335594;0.3298626232;0.0000735697;0.0000738396;0.0017484029;0.0000000000;0.3773612453
ZDT2;NSGAII;0.3328335594;0.3154376004;0.0007003477;0.0003711239;0.0113148151;0.0000000000;0.5988034739
ZDT2;MyNSGAII;0.3328335594;0.3301925167;0.0000625490;0.0000691252;0.0015777031;0.0000000000;0.3535494068
ZDT2;NSGAII;0.3328335594;0.3157223044;0.0006710022;0.0003742242;0.0111293508;0.0000000000;0.5878241533
ZDT2;MyNSGAII;0.3328335594;0.3298918908;0.0000742636;0.0000740315;0.0017524652;0.0000000000;0.3560418740
ZDT2;NSGAII;0.3328335594;0.3079107854;0.0010284114;0.0005472565;0.0168058459;0.0000000000;0.5830016130
ZDT2;MyNSGAII;0.3328335594;0.3299311290;0.0000723270;0.0000704356;0.0017177512;0.0000000000;0.3257251211
ZDT2;NSGAII;0.3328335594;0.3147538546;0.0007224689;0.0003769167;0.0114798321;0.0000000000;0.6281887894
ZDT2;MyNSGAII;0.3328335594;0.3299736142;0.0000706006;0.0000902733;0.0017091331;0.0000000000;0.3858667801
ZDT2;NSGAII;0.3328335594;0.3146721240;0.0007583128;0.0003920835;0.0119823641;0.0000000000;0.5693118579
ZDT2;MyNSGAII;0.3328335594;0.3305204875;0.0000528178;0.0000631857;0.0014108100;0.0000000000;0.3076336850
ZDT2;NSGAII;0.3328335594;0.3133096523;0.0008232115;0.0004289749;0.0126246604;0.0000000000;0.6247542626
ZDT2;MyNSGAII;0.3328335594;0.3296729578;0.0000821437;0.0000801721;0.0018668559;0.0000000000;0.3572822595
ZDT2;NSGAII;0.3328335594;0.3131945184;0.0008326930;0.0004082584;0.0125784082;0.0000000000;0.5745748909
ZDT2;MyNSGAII;0.3328335594;0.3305789884;0.0000488236;0.0000648548;0.0013689020;0.0000000000;0.3638237936
ZDT2;NSGAII;0.3328335594;0.3156336539;0.0007081053;0.0003840394;0.0110388152;0.0000000000;0.5645179812
ZDT2;MyNSGAII;0.3328335594;0.3308589940;0.0000359242;0.0000639233;0.0012281983;0.0000000000;0.3766168623
ZDT2;NSGAII;0.3328335594;0.3128018287;0.0008386448;0.0004248056;0.0130185589;0.0000000000;0.6519585357
ZDT2;MyNSGAII;0.3328335594;0.3294092838;0.0000949616;0.0000843880;0.0020133703;0.0000000000;0.3527704142
ZDT2;NSGAII;0.3328335594;0.3166785280;0.0006336735;0.0003512508;0.0104752214;0.0000000000;0.5064341634
ZDT2;MyNSGAII;0.3328335594;0.3301110697;0.0000644964;0.0000674103;0.0016048584;0.0000000000;0.3629642176
ZDT2;NSGAII;0.3328335594;0.3144174401;0.0007276045;0.0003953219;0.0119980454;0.0000000000;0.5754117856
ZDT3;MyNSGAII;0.5171918715;0.5158703000;0.0000605834;0.0000480399;0.0009780678;0.0000000000;0.8008199912
ZDT3;NSGAII;0.5171918715;0.5080861592;0.0003429544;0.0001671821;0.0045908703;0.0000000000;0.8310290952
ZDT3;MyNSGAII;0.5171918715;0.5158970211;0.0000589824;0.0000475152;0.0009908835;0.0000000000;0.7984410873
